artigo_id;titulo;trilha;controller;action;confianca
5-5-normas-procedimentos-e-historico-de-auditorias;Normas, Procedimentos e Histórico de Auditorias;Qualidade & Auditoria;AEB;NormasProcedimentosIndex;alta
5-6-a-b-alimentos-e-bebidas;A&B — Alimentos e Bebidas;Qualidade & Auditoria;;;sem
5-7-cadastro-de-checklist-de-auditoria;Cadastro de Checklist de Auditoria — Estrutura e Pesos;Qualidade & Auditoria;CadastroBasico;ChecklistIndex;alta
6-1-green-planet-configuracao-de-medicoes;Green Planet — Configuração de Medições;Gestor de PCM;GreenPlanet;LancamentoIndex;alta
6-2-lancamento-e-analise-de-consumo;Lançamento e Análise de Consumo;Gestor de PCM;Financas;DespesaIndex;baixa
7-2-relatorios-de-desempenho-e-business-intelligence;Relatorios de Desempenho e Business Intelligence;Gestor de PCM;Governanca;RelatorioUHNC;alta
7-4-relatorios-de-governanca;Relatorios de Governanca;Governança & Camareira;Governanca;RelatorioUHNC;alta
7-7-interface-opera-integracao-com-o-pms;Interface Opera — Integração com o PMS;Administrador;Configuracao;InterfaceOpera;alta
7-8-relatorio-dinamico-de-itens-auditaveis;Relatório Dinâmico de Itens Auditáveis;Gestor de PCM;Auditoria;Relatorio;alta
7-9-upload-em-massa-cadastro-basico-e-pmoc;Upload em Massa (Cadastro Básico e PMOC);Administrador;Upload;UploadExcel;alta
8-1-cadastro-de-ativos-fixos;Cadastro de Ativos Fixos;Ativo Fixo;AtivoFixo;AssetIndex;alta
8-2-movimentacao-de-ativos-fixos;Movimentação de Ativos Fixos;Ativo Fixo;AtivoFixo;assetMovement;alta
8-3-gestao-de-inventario-de-ativos-fixos;Gestão de Inventário de Ativos Fixos;Ativo Fixo;AtivoFixo;assetInventoryMng;alta
8-4-contagem-de-inventario-de-ativos-fixos;Contagem de Inventário de Ativos Fixos;Ativo Fixo;AtivoFixo;assetInventoryMng;alta
8-5-cadastro-e-registro-fotografico-no-inventario-hand-on-hand-off;Cadastro e Registro Fotográfico no Inventário (Hand-on/Hand-off);Ativo Fixo;AtivoFixo;assetInventoryMng;alta
a-1-controle-de-gastos-budget;Controle de Gastos (Budget);Financeiro;Financas;ControleGastoIndex;alta
a-2-lancamento-de-despesas;Lançamento de Despesas;Financeiro;Financas;DespesaIndex;alta
a-3-gestao-de-contratos;Gestão de Contratos;Financeiro;AEB;ContratoIndex;alta
1-3-administracao-de-usuarios-e-permissoes;Administração de Usuários e Permissões;Gestor de PCM;Administracao;UsuarioIndex;alta
1-1-como-acessar-o-sistema;Como Acessar o Sistema;Comece por aqui;;;sem
7-1-dashboard-visao-geral-e-kpis;Dashboard — Visao Geral e KPIs;Supervisores e Técnicos;Governanca;Dashboard;alta
5-1-status-de-u-h-em-tempo-real;Planejamento e Apontamentos de Arrumações;Governança & Camareira;Governanca;Planejamento;alta
3-1-gestao-de-ordens-de-servico-os;Gestão de Ordens de Serviço (OS);Supervisores e Técnicos;OrdemServico;OrdemServicoIndex2;alta
1-2-gestao-de-perfil-e-troca-de-senha;Gestão de Perfil e Troca de Senha;Comece por aqui;Administracao;PerfilIndex;alta
novidades-agosto-26;Novidades em Agosto/26;Novidades na Plataforma;;;sem
5-10-discrepancias-apontamento-avancado;Discrepâncias - Apontamento Avançado;Governança & Camareira;Governanca;Apontamento;alta
3-3-rotinas-e-rondas;Rotinas e Rondas;Supervisores e Técnicos;CadastroBasico;RotinaIndex;alta
1-5-treinamento-biblioteca-de-materiais;Treinamento — Biblioteca de Materiais;Gestor de PCM;CadastroBasico;TreinamentoIndex;alta
5-7-lavanderia-apontamento-e-controle-de-lavagem;Lavanderia - Apontamento e Controle de Lavagem;Governança & Camareira;Lavanderia;RelatorioControleGeral;alta
3-2-manutencao-preventiva;Manutenção Preventiva;Supervisores e Técnicos;CadastroBasico;PreventivaIndex;alta
5-2-gestao-de-enxoval-e-lavanderia;Gestão de Enxoval;Governança & Camareira;CadastroBasico;EnxovalIndex;alta
5-1-uh-em-dia-checklist-de-conformidade-tecnica;U.H. em Dia — Checklist de Conformidade Técnica;Supervisores e Técnicos;CadastroBasico;ChecklistIndex;alta
7-10-desempenho-de-governanca;Desempenho de Governança — KPIs, Score e Rankings;Governança & Camareira;Home;DesempenhoGovernanca;alta
5-8-mapa-de-manutencao-da-uh-atividades-unicas;Mapa de Manutenção da U.H. — Atividades Únicas;Supervisores e Técnicos;CadastroBasico;AtividadeIndex;alta
1-6-metas-e-parametros-de-governanca;Metas e Parâmetros de Governança;Governança & Camareira;Administracao;MetasParametrosGovernanca;alta
5-9-dedetizacao-controle-recorrente-por-uh;Dedetização — Controle Recorrente por U.H.;Supervisores e Técnicos;CadastroBasico;Dedetizacao;alta
5-3-produtividade-e-qualidade-de-camareiras;Relatório de Produtividade e Qualidade de Camareiras;Governança & Camareira;Governanca;RelatorioCamareiraNC;alta
6-2-lancamento-e-analise-de-consumo-tecnico;Green Planet — Lançamento de Medições;Supervisores e Técnicos;GreenPlanet;LancamentoIndex;alta
laudos-apontamento-de-horas;Laudos — Apontamento de Horas;Supervisores e Técnicos;Governanca;Apontamento;alta
5-13-tudo-em-dia-checklist-de-conformidade-de-locais;Tudo em Dia — Checklist de Conformidade de Locais;Supervisores e Técnicos;CadastroBasico;ChecklistIndex;alta
7-6-logbook-livro-de-ocorrencias;LogBook — Livro de Ocorrencias;Supervisores e Técnicos;LogBook;LogBook;alta
7-5-modulo-excel-extracao-e-analise-avancada;Módulo Excel — Extração e Análise Avançada;Gestor de PCM;;;sem
